                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95704,                0.78947,                 1.0895,                0.88601,                  0.835,                0.88138,                 0.6356,                0.99384,                0.86355,                 1.1241,              0.0016733,              0.0016733,              0.0016733
                     36,                 0.9648,                0.76756,                 1.0994,                  0.837,                  0.905,                0.87624,                0.64101,                 1.0691,                0.85544,                 1.1536,              0.0016634,              0.0016634,              0.0016634
                     37,                0.92185,                0.75069,                 1.0572,                0.79784,                  0.875,                0.82361,                0.59135,                 1.0874,                0.92382,                 1.1575,              0.0016535,              0.0016535,              0.0016535
                     38,                0.92597,                 0.7624,                 1.0648,                0.81164,                   0.85,                0.84066,                0.59422,                 1.0457,                0.97656,                 1.1494,              0.0016436,              0.0016436,              0.0016436
                     39,                0.95677,                0.78689,                 1.0583,                0.71499,                0.85293,                0.83858,                0.58365,                 1.0343,                0.98663,                 1.1381,              0.0016337,              0.0016337,              0.0016337
                     40,                0.92067,                0.76012,                 1.0491,                0.81052,                  0.905,                0.86008,                0.62494,                 1.0108,                  0.812,                 1.0993,              0.0016238,              0.0016238,              0.0016238
                     41,                0.92136,                0.73522,                 1.0641,                0.82333,                0.81553,                0.84455,                0.63111,                0.99353,                0.93658,                 1.0985,              0.0016139,              0.0016139,              0.0016139
                     42,                0.88848,                0.71422,                 1.0508,                0.80841,                  0.905,                0.86018,                 0.6191,                 1.0172,                0.87047,                 1.1278,               0.001604,               0.001604,               0.001604
                     43,                0.93045,                0.73277,                 1.0659,                0.81062,                    0.9,                0.87314,                0.61625,                 1.0368,                0.85085,                 1.1262,              0.0015941,              0.0015941,              0.0015941
                     44,                0.94389,                0.71117,                 1.0564,                0.83288,                0.87216,                0.86957,                0.61907,                 1.0319,                 0.8593,                 1.1424,              0.0015842,              0.0015842,              0.0015842
                     45,                0.91623,                0.69065,                 1.0383,                0.88265,                  0.865,                0.89221,                0.64902,                 1.0101,                0.80052,                 1.1226,              0.0015743,              0.0015743,              0.0015743
                     46,                0.85127,                0.66839,                 1.0116,                0.83595,                  0.885,                0.89916,                0.64718,                 1.0066,                0.78519,                 1.1104,              0.0015644,              0.0015644,              0.0015644
                     47,                0.89198,                0.70506,                 1.0522,                0.87785,                0.89833,                0.89083,                0.66399,                0.93739,                0.74992,                 1.0788,              0.0015545,              0.0015545,              0.0015545
                     48,                0.86114,                0.68017,                 1.0281,                0.81649,                0.93434,                0.88015,                0.64839,                0.96617,                0.75663,                 1.0962,              0.0015446,              0.0015446,              0.0015446
                     49,                0.84529,                0.66403,                   1.02,                0.84032,                0.89463,                0.88641,                 0.6306,                 1.0478,                0.79781,                 1.1338,              0.0015347,              0.0015347,              0.0015347
                     50,                0.85013,                 0.6487,                 1.0369,                0.85631,                0.89392,                0.88352,                 0.6302,                0.97826,                0.82265,                 1.1175,              0.0015248,              0.0015248,              0.0015248
                     51,                0.83647,                0.65704,                 1.0271,                0.82108,                   0.87,                0.85767,                0.60564,                 1.0639,                 0.8735,                 1.1379,              0.0015149,              0.0015149,              0.0015149
                     52,                0.87752,                0.64061,                 1.0433,                0.91661,                 0.8244,                0.89493,                0.64393,                 1.0129,                 0.7994,                 1.1011,               0.001505,               0.001505,               0.001505
                     53,                0.84679,                0.64437,                 1.0158,                0.87928,                  0.855,                0.89021,                0.64938,                0.97805,                0.81411,                  1.102,              0.0014951,              0.0014951,              0.0014951
                     54,                0.85511,                0.64498,                 1.0258,                0.81838,                  0.855,                 0.8738,                0.65279,                0.92303,                0.78843,                 1.0776,              0.0014852,              0.0014852,              0.0014852
                     55,                0.83796,                0.63716,                 1.0324,                0.83857,                0.88311,                0.90478,                0.68027,                0.96238,                0.74899,                 1.0974,              0.0014753,              0.0014753,              0.0014753
                     56,                0.85779,                0.64329,                 1.0107,                0.88092,                   0.86,                0.91613,                0.68241,                0.97004,                 0.7331,                 1.0922,              0.0014654,              0.0014654,              0.0014654
                     57,                0.87546,                0.65873,                 1.0269,                0.88588,                0.89269,                0.90663,                0.68012,                0.92231,                0.69096,                 1.0898,              0.0014555,              0.0014555,              0.0014555
                     58,                0.85423,                0.64422,                 1.0348,                0.86304,                0.91369,                0.89106,                0.65895,                0.94539,                0.72404,                 1.0793,              0.0014456,              0.0014456,              0.0014456
                     59,                0.78986,                0.59328,                0.98227,                0.85214,                0.89329,                 0.9007,                0.66897,                 0.9443,                 0.7555,                 1.0824,              0.0014357,              0.0014357,              0.0014357
                     60,                0.86912,                0.62648,                  1.023,                0.84504,                   0.89,                0.90669,                0.63208,                0.97893,                0.77272,                  1.113,              0.0014258,              0.0014258,              0.0014258
                     61,                0.84609,                0.63184,                 1.0095,                0.87417,                  0.905,                0.89353,                0.67298,                0.92703,                0.74539,                  1.079,              0.0014159,              0.0014159,              0.0014159
                     62,                0.81611,                0.61536,                 1.0158,                0.83676,                   0.87,                0.88109,                0.64353,                0.96401,                0.78785,                 1.0864,               0.001406,               0.001406,               0.001406
                     63,                0.82196,                0.61085,                0.99951,                0.82661,                   0.89,                0.88658,                  0.654,                0.95993,                0.80666,                 1.1028,              0.0013961,              0.0013961,              0.0013961
                     64,                0.82021,                0.60947,                 1.0253,                0.85088,                  0.895,                 0.8931,                0.65712,                0.93888,                0.73509,                 1.1005,              0.0013862,              0.0013862,              0.0013862
                     65,                0.78265,                0.58192,                0.99316,                0.86403,                  0.885,                0.88912,                0.66864,                0.94281,                0.74468,                 1.0983,              0.0013763,              0.0013763,              0.0013763
                     66,                0.80222,                0.59113,                 1.0008,                0.85149,                   0.89,                0.89163,                0.68272,                0.95843,                0.72204,                 1.0823,              0.0013664,              0.0013664,              0.0013664
                     67,                0.80152,                0.60161,                 1.0178,                0.84851,                0.89619,                0.90033,                0.68649,                0.92644,                0.70373,                 1.0784,              0.0013565,              0.0013565,              0.0013565
                     68,                0.81415,                0.59947,                 1.0188,                0.85747,                  0.845,                0.87043,                0.65366,                0.93112,                0.74455,                 1.0959,              0.0013466,              0.0013466,              0.0013466
                     69,                0.81819,                 0.6066,                0.99313,                0.86969,                0.86765,                0.90842,                0.71002,                0.90635,                0.72083,                 1.0627,              0.0013367,              0.0013367,              0.0013367
                     70,                0.80727,                0.61934,                 1.0073,                0.91568,                   0.82,                0.91453,                0.70078,                0.91613,                0.73702,                 1.0675,              0.0013268,              0.0013268,              0.0013268
                     71,                0.75192,                0.56229,                0.97502,                0.89868,                   0.86,                0.91645,                0.70272,                 0.8829,                0.69797,                   1.05,              0.0013169,              0.0013169,              0.0013169
                     72,                0.78474,                0.59472,                 1.0012,                 0.9071,                   0.86,                 0.8937,                0.67841,                0.93409,                0.78232,                 1.0788,               0.001307,               0.001307,               0.001307
                     73,                0.82021,                0.56861,                0.99217,                0.91095,                0.86957,                0.89685,                0.68808,                0.89086,                0.77731,                 1.0605,              0.0012971,              0.0012971,              0.0012971
                     74,                0.81086,                0.58379,                 0.9889,                0.90781,                0.88621,                0.91096,                0.66744,                 0.9634,                0.76254,                 1.0889,              0.0012872,              0.0012872,              0.0012872
                     75,                0.78848,                  0.574,                 0.9905,                0.85856,                0.88015,                0.89059,                 0.6725,                0.91978,                0.78435,                 1.0738,              0.0012773,              0.0012773,              0.0012773
